Дата;Магазин;Город;Товар;Категория;Количество. кг;Стоимость. руб.
13.06.2010;Росвкус;Владимир;Капуста;Овощи;8.7;234.9
22.12.2014;Авоська;Владимир;Картофель;Овощи;0.7;24.5
18.03.2015;Алтын;Ковров;Капуста;Овощи;4.3;116.1
13.12.2013;Сельпо;Ковров;Томаты;Овощи;18.4;1472
04.06.2015;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;18.1;2389.2
24.12.2010;Авоська;Владимир;Огурцы;Овощи;5.2;254.8
21.04.2013;Росвкус;Владимир;Бананы;Фрукты;10.7;599.2
11.06.2014;Росвкус;Владимир;Капуста;Овощи;3.7;99.9
06.07.2010;Авоська;Владимир;Яблоки;Фрукты;6.3;434.7
08.04.2012;Росвкус;Владимир;Груши;Фрукты;10.4;811.2
21.05.2012;Сельпо;Ковров;Баклажаны;Овощи;7.3;963.6
08.05.2015;Копеечка;Ковров;Капуста;Овощи;3.3;89.1
02.08.2014;Алтын;Ковров;Виноград;Фрукты;2.4;295.2
08.09.2010;Авоська;Владимир;Бананы;Фрукты;6.1;341.6
13.06.2015;Провиант;Владимир;Яблоки;Фрукты;9.7;669.3
17.08.2012;Копеечка;Ковров;Апельсины;Фрукты;6.5;416
01.12.2013;Авоська;Владимир;Бананы;Фрукты;10.1;565.6
24.04.2011;Алтын;Ковров;Апельсины;Фрукты;12.4;793.6
12.10.2014;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;4.3;567.6
24.12.2011;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;15.1;845.6
17.04.2015;Копеечка;Ковров;Апельсины;Фрукты;18.3;1171.2
11.09.2013;Деревенский;Гусь-Хрустальный;Груши;Фрукты;8.7;678.6
10.02.2013;Провиант;Владимир;Картофель;Овощи;9.7;339.5
11.08.2014;Росвкус;Владимир;Баклажаны;Овощи;2;264
01.11.2013;Полтинник;Гусь-Хрустальный;Картофель;Овощи;3.5;122.5
02.05.2015;Росвкус;Владимир;Огурцы;Овощи;17;833
29.10.2011;Провиант;Владимир;Капуста;Овощи;9.8;264.6
01.02.2010;Первый продуктовый;Гусь-Хрустальный;Бананы;Фрукты;15.2;851.2
15.08.2010;Алтын;Ковров;Виноград;Фрукты;10.6;1303.8
04.04.2015;Первый продуктовый;Гусь-Хрустальный;Томаты;Овощи;13.2;1056
15.06.2010;Росвкус;Владимир;Апельсины;Фрукты;18.8;1203.2
17.12.2012;Провиант;Владимир;Апельсины;Фрукты;2.1;134.4
07.01.2010;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;10;1320
10.02.2011;Копеечка;Ковров;Капуста;Овощи;14.3;386.1
21.01.2014;Авоська;Владимир;Картофель;Овощи;19.3;675.5
22.05.2011;Росвкус;Владимир;Яблоки;Фрукты;13.7;945.3
18.02.2011;Провиант;Владимир;Виноград;Фрукты;5.6;688.8
30.04.2010;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;11.3;779.7
05.11.2013;Сельпо;Ковров;Виноград;Фрукты;3.2;393.6
05.04.2010;Росвкус;Владимир;Огурцы;Овощи;12.5;612.5
08.05.2014;Полтинник;Гусь-Хрустальный;Бананы;Фрукты;12.2;683.2
12.02.2013;Сельпо;Ковров;Апельсины;Фрукты;7.7;492.8
05.02.2012;Алтын;Ковров;Виноград;Фрукты;14.5;1783.5
16.02.2012;Провиант;Владимир;Груши;Фрукты;14.2;1107.6
20.01.2012;Сельпо;Ковров;Груши;Фрукты;6.3;491.4
28.05.2014;Сельпо;Ковров;Виноград;Фрукты;14.6;1795.8
04.05.2013;Первый продуктовый;Гусь-Хрустальный;Баклажаны;Овощи;11.2;1478.4
10.10.2013;Росвкус;Владимир;Баклажаны;Овощи;3.2;422.4
27.02.2013;Росвкус;Владимир;Картофель;Овощи;13;455
31.08.2010;Первый продуктовый;Гусь-Хрустальный;Баклажаны;Овощи;15.1;1993.2
10.10.2014;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;16.8;823.2
17.03.2011;Провиант;Владимир;Виноград;Фрукты;11.9;1463.7
31.01.2014;Первый продуктовый;Гусь-Хрустальный;Баклажаны;Овощи;12.9;1702.8
17.01.2014;Деревенский;Гусь-Хрустальный;Капуста;Овощи;13;351
28.04.2015;Провиант;Владимир;Баклажаны;Овощи;13.8;1821.6
17.05.2010;Копеечка;Ковров;Картофель;Овощи;4.7;164.5
01.10.2012;Копеечка;Ковров;Груши;Фрукты;8.5;663
12.04.2013;Копеечка;Ковров;Груши;Фрукты;12.2;951.6
02.10.2012;Авоська;Владимир;Виноград;Фрукты;3;369
20.02.2015;Алтын;Ковров;Апельсины;Фрукты;16.5;1056
18.06.2010;Копеечка;Ковров;Бананы;Фрукты;2;112
20.02.2010;Копеечка;Ковров;Апельсины;Фрукты;15.9;1017.6
11.01.2010;Копеечка;Ковров;Баклажаны;Овощи;13.4;1768.8
28.05.2011;Копеечка;Ковров;Огурцы;Овощи;19;931
03.09.2012;Копеечка;Ковров;Апельсины;Фрукты;5.7;364.8
13.09.2012;Алтын;Ковров;Картофель;Овощи;2.8;98
14.02.2010;Алтын;Ковров;Груши;Фрукты;19.5;1521
04.10.2014;Полтинник;Гусь-Хрустальный;Капуста;Овощи;13.4;361.8
01.02.2011;Алтын;Ковров;Груши;Фрукты;15.3;1193.4
21.10.2013;Копеечка;Ковров;Капуста;Овощи;4.2;113.4
29.05.2015;Деревенский;Гусь-Хрустальный;Огурцы;Овощи;14.4;705.6
20.03.2010;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;18.4;901.6
20.01.2013;Росвкус;Владимир;Груши;Фрукты;4.1;319.8
27.10.2014;Деревенский;Гусь-Хрустальный;Апельсины;Фрукты;1.4;89.6
02.07.2013;Сельпо;Ковров;Виноград;Фрукты;4.1;504.3
07.04.2012;Авоська;Владимир;Огурцы;Овощи;6.6;323.4
06.09.2013;Провиант;Владимир;Яблоки;Фрукты;8.4;579.6
24.11.2013;Полтинник;Гусь-Хрустальный;Огурцы;Овощи;15.5;759.5
09.03.2011;Провиант;Владимир;Капуста;Овощи;9.1;245.7
01.03.2012;Авоська;Владимир;Картофель;Овощи;12.4;434
26.03.2014;Копеечка;Ковров;Бананы;Фрукты;16.2;907.2
22.04.2012;Авоська;Владимир;Виноград;Фрукты;13.3;1635.9
06.10.2010;Провиант;Владимир;Апельсины;Фрукты;10.2;652.8
01.12.2010;Авоська;Владимир;Огурцы;Овощи;20;980
31.07.2014;Росвкус;Владимир;Бананы;Фрукты;3.6;201.6
21.12.2011;Провиант;Владимир;Яблоки;Фрукты;8.2;565.8
09.08.2014;Первый продуктовый;Гусь-Хрустальный;Груши;Фрукты;12.9;1006.2
31.03.2011;Копеечка;Ковров;Картофель;Овощи;19.5;682.5
21.01.2015;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;2.3;112.7
31.08.2010;Росвкус;Владимир;Томаты;Овощи;4.3;344
24.01.2010;Первый продуктовый;Гусь-Хрустальный;Яблоки;Фрукты;10;690
01.12.2013;Провиант;Владимир;Капуста;Овощи;2.8;75.6
13.05.2010;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;17.8;623
18.12.2012;Провиант;Владимир;Яблоки;Фрукты;0.7;48.3
21.02.2011;Первый продуктовый;Гусь-Хрустальный;Капуста;Овощи;15.8;426.6
12.01.2010;Провиант;Владимир;Груши;Фрукты;16.5;1287
23.08.2015;Провиант;Владимир;Груши;Фрукты;8.2;639.6
23.07.2012;Первый продуктовый;Гусь-Хрустальный;Капуста;Овощи;9.7;261.9
03.08.2012;Полтинник;Гусь-Хрустальный;Капуста;Овощи;3;81
16.06.2013;Копеечка;Ковров;Яблоки;Фрукты;19.7;1359.3
06.11.2014;Первый продуктовый;Гусь-Хрустальный;Томаты;Овощи;8.5;680
22.06.2015;Первый продуктовый;Гусь-Хрустальный;Груши;Фрукты;2.4;187.2
06.12.2014;Первый продуктовый;Гусь-Хрустальный;Яблоки;Фрукты;8;552
06.02.2012;Алтын;Ковров;Картофель;Овощи;6.4;224
29.12.2012;Полтинник;Гусь-Хрустальный;Картофель;Овощи;16.8;588
27.02.2011;Провиант;Владимир;Виноград;Фрукты;15.5;1906.5
04.12.2011;Провиант;Владимир;Огурцы;Овощи;1.4;68.6
27.02.2014;Росвкус;Владимир;Томаты;Овощи;1.3;104
16.02.2010;Деревенский;Гусь-Хрустальный;Груши;Фрукты;16.2;1263.6
26.02.2010;Алтын;Ковров;Груши;Фрукты;2.6;202.8
27.08.2014;Провиант;Владимир;Капуста;Овощи;13.2;356.4
07.06.2013;Алтын;Ковров;Баклажаны;Овощи;7.6;1003.2
02.07.2015;Алтын;Ковров;Баклажаны;Овощи;17.9;2362.8
21.07.2013;Первый продуктовый;Гусь-Хрустальный;Груши;Фрукты;13.7;1068.6
27.03.2010;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;8;552
24.03.2011;Копеечка;Ковров;Виноград;Фрукты;9.9;1217.7
10.01.2011;Полтинник;Гусь-Хрустальный;Томаты;Овощи;7.1;568
17.11.2010;Копеечка;Ковров;Апельсины;Фрукты;13.7;876.8
06.04.2015;Сельпо;Ковров;Картофель;Овощи;2.9;101.5
22.02.2010;Сельпо;Ковров;Виноград;Фрукты;15.2;1869.6
08.07.2014;Алтын;Ковров;Апельсины;Фрукты;12;768
13.10.2014;Копеечка;Ковров;Томаты;Овощи;5.2;416
06.09.2014;Первый продуктовый;Гусь-Хрустальный;Капуста;Овощи;19.3;521.1
28.01.2015;Сельпо;Ковров;Огурцы;Овощи;18.5;906.5
14.12.2012;Полтинник;Гусь-Хрустальный;Груши;Фрукты;6.3;491.4
06.07.2011;Первый продуктовый;Гусь-Хрустальный;Капуста;Овощи;14.2;383.4
30.12.2014;Первый продуктовый;Гусь-Хрустальный;Баклажаны;Овощи;17.1;2257.2
11.04.2012;Росвкус;Владимир;Бананы;Фрукты;14.4;806.4
07.03.2011;Алтын;Ковров;Картофель;Овощи;16.1;563.5
05.06.2012;Первый продуктовый;Гусь-Хрустальный;Томаты;Овощи;12.2;976
20.09.2012;Алтын;Ковров;Бананы;Фрукты;10.1;565.6
28.05.2014;Авоська;Владимир;Груши;Фрукты;3.4;265.2
01.05.2014;Росвкус;Владимир;Груши;Фрукты;16.8;1310.4
07.04.2015;Провиант;Владимир;Яблоки;Фрукты;8.8;607.2
12.12.2010;Алтын;Ковров;Капуста;Овощи;16.7;450.9
28.01.2010;Копеечка;Ковров;Яблоки;Фрукты;7.3;503.7
06.09.2015;Полтинник;Гусь-Хрустальный;Капуста;Овощи;2;54
10.12.2012;Сельпо;Ковров;Яблоки;Фрукты;17.2;1186.8
24.09.2010;Алтын;Ковров;Картофель;Овощи;19.5;682.5
20.05.2011;Полтинник;Гусь-Хрустальный;Виноград;Фрукты;3.6;442.8
02.02.2013;Первый продуктовый;Гусь-Хрустальный;Бананы;Фрукты;4.2;235.2
23.06.2014;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;7.5;990
10.11.2011;Провиант;Владимир;Яблоки;Фрукты;1.1;75.9
23.02.2011;Алтын;Ковров;Бананы;Фрукты;2.1;117.6
02.01.2010;Авоська;Владимир;Капуста;Овощи;4.1;110.7
28.03.2015;Алтын;Ковров;Баклажаны;Овощи;13.8;1821.6
10.08.2012;Авоська;Владимир;Картофель;Овощи;1.9;66.5
14.03.2014;Авоська;Владимир;Груши;Фрукты;5.6;436.8
10.11.2010;Копеечка;Ковров;Бананы;Фрукты;14.9;834.4
17.03.2013;Провиант;Владимир;Баклажаны;Овощи;2.9;382.8
20.01.2010;Полтинник;Гусь-Хрустальный;Картофель;Овощи;13.8;483
28.01.2011;Провиант;Владимир;Апельсины;Фрукты;17.8;1139.2
23.02.2011;Росвкус;Владимир;Виноград;Фрукты;13.8;1697.4
23.08.2011;Алтын;Ковров;Баклажаны;Овощи;16.9;2230.8
08.11.2010;Сельпо;Ковров;Яблоки;Фрукты;4.4;303.6
24.07.2014;Деревенский;Гусь-Хрустальный;Виноград;Фрукты;3.2;393.6
23.11.2011;Росвкус;Владимир;Бананы;Фрукты;5;280
27.04.2011;Деревенский;Гусь-Хрустальный;Томаты;Овощи;18.1;1448
17.09.2014;Алтын;Ковров;Бананы;Фрукты;0.7;39.2
12.03.2012;Первый продуктовый;Гусь-Хрустальный;Баклажаны;Овощи;18;2376
16.12.2011;Алтын;Ковров;Капуста;Овощи;9.7;261.9
15.07.2013;Полтинник;Гусь-Хрустальный;Яблоки;Фрукты;1.3;89.7
14.08.2012;Сельпо;Ковров;Апельсины;Фрукты;12.6;806.4
22.05.2013;Деревенский;Гусь-Хрустальный;Груши;Фрукты;11.8;920.4
22.03.2012;Алтын;Ковров;Груши;Фрукты;5.7;444.6
15.12.2010;Полтинник;Гусь-Хрустальный;Томаты;Овощи;9.4;752
21.10.2013;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;16;2112
14.07.2013;Деревенский;Гусь-Хрустальный;Томаты;Овощи;10.5;840
02.08.2012;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;5.1;326.4
23.01.2010;Росвкус;Владимир;Капуста;Овощи;13.4;361.8
06.05.2010;Деревенский;Гусь-Хрустальный;Картофель;Овощи;0.7;24.5
20.01.2012;Полтинник;Гусь-Хрустальный;Бананы;Фрукты;4.6;257.6
02.06.2010;Провиант;Владимир;Картофель;Овощи;13.1;458.5
25.02.2010;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;15.2;532
31.07.2013;Алтын;Ковров;Огурцы;Овощи;2.9;142.1
27.06.2010;Первый продуктовый;Гусь-Хрустальный;Яблоки;Фрукты;7.6;524.4
25.09.2010;Авоська;Владимир;Капуста;Овощи;8.1;218.7
23.07.2012;Полтинник;Гусь-Хрустальный;Груши;Фрукты;19.2;1497.6
01.10.2015;Провиант;Владимир;Огурцы;Овощи;1.7;83.3
24.05.2013;Алтын;Ковров;Баклажаны;Овощи;11.3;1491.6
13.01.2015;Первый продуктовый;Гусь-Хрустальный;Томаты;Овощи;3.3;264
19.01.2011;Провиант;Владимир;Капуста;Овощи;17.1;461.7
14.12.2011;Росвкус;Владимир;Капуста;Овощи;2.7;72.9
24.03.2015;Росвкус;Владимир;Капуста;Овощи;14.2;383.4
05.06.2012;Копеечка;Ковров;Груши;Фрукты;17.4;1357.2
02.05.2012;Авоська;Владимир;Томаты;Овощи;10.2;816
02.07.2012;Алтын;Ковров;Виноград;Фрукты;19.3;2373.9
07.09.2014;Копеечка;Ковров;Яблоки;Фрукты;18.2;1255.8
06.04.2012;Сельпо;Ковров;Апельсины;Фрукты;10.6;678.4
08.02.2013;Росвкус;Владимир;Виноград;Фрукты;2.7;332.1
07.06.2010;Росвкус;Владимир;Груши;Фрукты;7.5;585
15.10.2010;Алтын;Ковров;Груши;Фрукты;14.1;1099.8
10.06.2010;Копеечка;Ковров;Груши;Фрукты;3.8;296.4
31.12.2012;Полтинник;Гусь-Хрустальный;Капуста;Овощи;6.3;170.1
30.07.2015;Алтын;Ковров;Томаты;Овощи;9.3;744
30.12.2012;Деревенский;Гусь-Хрустальный;Виноград;Фрукты;16.4;2017.2
25.05.2013;Сельпо;Ковров;Груши;Фрукты;15.3;1193.4
18.04.2011;Авоська;Владимир;Бананы;Фрукты;16.8;940.8
20.04.2013;Авоська;Владимир;Апельсины;Фрукты;8.4;537.6
10.09.2010;Провиант;Владимир;Капуста;Овощи;19.2;518.4
23.12.2013;Авоська;Владимир;Груши;Фрукты;3.5;273
19.08.2014;Сельпо;Ковров;Картофель;Овощи;3.8;133
22.07.2010;Копеечка;Ковров;Томаты;Овощи;8.4;672
22.09.2015;Провиант;Владимир;Огурцы;Овощи;8.1;396.9
22.03.2015;Копеечка;Ковров;Картофель;Овощи;14.7;514.5
24.03.2010;Первый продуктовый;Гусь-Хрустальный;Груши;Фрукты;1.3;101.4
10.01.2011;Росвкус;Владимир;Огурцы;Овощи;11.5;563.5
22.11.2012;Алтын;Ковров;Баклажаны;Овощи;9.1;1201.2
04.05.2014;Первый продуктовый;Гусь-Хрустальный;Виноград;Фрукты;9.8;1205.4
24.12.2011;Авоська;Владимир;Картофель;Овощи;1.9;66.5
04.02.2015;Алтын;Ковров;Груши;Фрукты;7.2;561.6
14.06.2010;Полтинник;Гусь-Хрустальный;Яблоки;Фрукты;0.9;62.1
13.03.2012;Сельпо;Ковров;Виноград;Фрукты;6.3;774.9
12.05.2014;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;11.8;1557.6
03.12.2012;Сельпо;Ковров;Груши;Фрукты;7.6;592.8
15.02.2012;Росвкус;Владимир;Груши;Фрукты;1.2;93.6
14.05.2013;Провиант;Владимир;Яблоки;Фрукты;9.2;634.8
11.10.2013;Копеечка;Ковров;Капуста;Овощи;13.1;353.7
24.03.2012;Копеечка;Ковров;Картофель;Овощи;4.2;147
15.10.2014;Сельпо;Ковров;Бананы;Фрукты;6.8;380.8
10.06.2010;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;4.3;567.6
08.06.2011;Авоська;Владимир;Огурцы;Овощи;12.9;632.1
01.08.2015;Сельпо;Ковров;Апельсины;Фрукты;7.6;486.4
01.09.2014;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;3.5;122.5
28.03.2013;Провиант;Владимир;Томаты;Овощи;17.7;1416
16.06.2015;Копеечка;Ковров;Груши;Фрукты;14;1092
03.05.2012;Авоська;Владимир;Баклажаны;Овощи;11.8;1557.6
16.03.2015;Авоська;Владимир;Виноград;Фрукты;9.3;1143.9
20.11.2013;Полтинник;Гусь-Хрустальный;Бананы;Фрукты;19.9;1114.4
29.01.2013;Копеечка;Ковров;Виноград;Фрукты;9.4;1156.2
06.03.2015;Деревенский;Гусь-Хрустальный;Картофель;Овощи;1.6;56
18.05.2011;Авоська;Владимир;Огурцы;Овощи;2;98
22.03.2013;Полтинник;Гусь-Хрустальный;Виноград;Фрукты;3.3;405.9
01.02.2015;Алтын;Ковров;Апельсины;Фрукты;4.8;307.2
22.08.2012;Провиант;Владимир;Капуста;Овощи;9.4;253.8
27.01.2011;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;2.3;158.7
06.04.2013;Алтын;Ковров;Томаты;Овощи;15;1200
14.08.2014;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;12.8;716.8
03.02.2014;Алтын;Ковров;Виноград;Фрукты;15;1845
08.01.2011;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;4.1;229.6
06.09.2014;Провиант;Владимир;Баклажаны;Овощи;2.2;290.4
31.08.2013;Сельпо;Ковров;Баклажаны;Овощи;9;1188
01.08.2015;Алтын;Ковров;Груши;Фрукты;13.1;1021.8
11.04.2015;Провиант;Владимир;Груши;Фрукты;15.7;1224.6
26.05.2010;Авоська;Владимир;Груши;Фрукты;0.6;46.8
16.08.2015;Полтинник;Гусь-Хрустальный;Виноград;Фрукты;9.9;1217.7
16.10.2011;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;2.3;112.7
21.01.2015;Сельпо;Ковров;Капуста;Овощи;7.5;202.5
07.05.2015;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;10;1320
16.03.2010;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;16.9;1081.6
11.07.2015;Полтинник;Гусь-Хрустальный;Яблоки;Фрукты;8.2;565.8
20.11.2014;Алтын;Ковров;Баклажаны;Овощи;9.9;1306.8
31.01.2014;Алтын;Ковров;Картофель;Овощи;8.6;301
25.04.2011;Росвкус;Владимир;Яблоки;Фрукты;4.6;317.4
17.12.2010;Первый продуктовый;Гусь-Хрустальный;Баклажаны;Овощи;12;1584
01.12.2010;Копеечка;Ковров;Апельсины;Фрукты;7.8;499.2
21.07.2014;Авоська;Владимир;Картофель;Овощи;11.7;409.5
29.01.2011;Полтинник;Гусь-Хрустальный;Яблоки;Фрукты;2.4;165.6
03.12.2013;Алтын;Ковров;Огурцы;Овощи;10.7;524.3
31.10.2013;Росвкус;Владимир;Огурцы;Овощи;8.2;401.8
09.10.2011;Росвкус;Владимир;Яблоки;Фрукты;18.9;1304.1
24.09.2014;Первый продуктовый;Гусь-Хрустальный;Капуста;Овощи;3.5;94.5
09.12.2010;Сельпо;Ковров;Капуста;Овощи;11.4;307.8
29.05.2012;Копеечка;Ковров;Груши;Фрукты;10.5;819
06.08.2015;Провиант;Владимир;Виноград;Фрукты;3.1;381.3
04.10.2013;Авоська;Владимир;Апельсины;Фрукты;1.8;115.2
22.05.2013;Полтинник;Гусь-Хрустальный;Капуста;Овощи;16.9;456.3
06.09.2013;Росвкус;Владимир;Виноград;Фрукты;5;615
08.05.2015;Росвкус;Владимир;Виноград;Фрукты;0.6;73.8
19.06.2012;Сельпо;Ковров;Яблоки;Фрукты;16.5;1138.5
14.06.2011;Первый продуктовый;Гусь-Хрустальный;Яблоки;Фрукты;19.4;1338.6
24.08.2010;Авоська;Владимир;Огурцы;Овощи;12;588
04.02.2011;Копеечка;Ковров;Картофель;Овощи;4.4;154
09.05.2011;Копеечка;Ковров;Картофель;Овощи;11.5;402.5
02.05.2014;Авоська;Владимир;Огурцы;Овощи;4.9;240.1
14.09.2014;Копеечка;Ковров;Картофель;Овощи;16.3;570.5
05.09.2011;Копеечка;Ковров;Баклажаны;Овощи;4.9;646.8
31.07.2014;Полтинник;Гусь-Хрустальный;Бананы;Фрукты;13.8;772.8
15.05.2014;Сельпо;Ковров;Апельсины;Фрукты;4.8;307.2
14.05.2010;Сельпо;Ковров;Капуста;Овощи;2.6;70.2
11.01.2015;Провиант;Владимир;Капуста;Овощи;19.1;515.7
10.09.2013;Сельпо;Ковров;Баклажаны;Овощи;10.5;1386
20.08.2013;Копеечка;Ковров;Баклажаны;Овощи;16.3;2151.6
09.01.2010;Деревенский;Гусь-Хрустальный;Картофель;Овощи;11.7;409.5
14.12.2012;Копеечка;Ковров;Огурцы;Овощи;9.5;465.5
04.03.2010;Алтын;Ковров;Апельсины;Фрукты;19.2;1228.8
03.06.2013;Росвкус;Владимир;Апельсины;Фрукты;2.3;147.2
31.03.2013;Сельпо;Ковров;Виноград;Фрукты;16.2;1992.6
22.07.2013;Сельпо;Ковров;Бананы;Фрукты;4.7;263.2
14.08.2011;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;4.5;594
25.07.2011;Авоська;Владимир;Бананы;Фрукты;8.4;470.4
24.10.2011;Копеечка;Ковров;Груши;Фрукты;8.6;670.8
01.11.2013;Сельпо;Ковров;Апельсины;Фрукты;16.6;1062.4
09.06.2012;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;9.8;627.2
07.11.2014;Первый продуктовый;Гусь-Хрустальный;Капуста;Овощи;15;405
14.02.2010;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;14.1;493.5
25.02.2012;Сельпо;Ковров;Томаты;Овощи;6.6;528
13.06.2013;Первый продуктовый;Гусь-Хрустальный;Огурцы;Овощи;19.5;955.5
28.02.2012;Росвкус;Владимир;Капуста;Овощи;19;513
20.05.2014;Авоська;Владимир;Бананы;Фрукты;14.3;800.8
18.11.2012;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;18.8;658
11.08.2015;Авоська;Владимир;Капуста;Овощи;7.2;194.4
26.02.2011;Полтинник;Гусь-Хрустальный;Капуста;Овощи;4.5;121.5
11.11.2014;Полтинник;Гусь-Хрустальный;Апельсины;Фрукты;19.3;1235.2
29.07.2013;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;9.8;548.8
29.09.2014;Полтинник;Гусь-Хрустальный;Груши;Фрукты;14.4;1123.2
14.02.2014;Первый продуктовый;Гусь-Хрустальный;Капуста;Овощи;4.5;121.5
24.05.2011;Деревенский;Гусь-Хрустальный;Бананы;Фрукты;6.7;375.2
17.08.2013;Провиант;Владимир;Картофель;Овощи;5.7;199.5
21.05.2012;Первый продуктовый;Гусь-Хрустальный;Груши;Фрукты;19.3;1505.4
30.06.2011;Полтинник;Гусь-Хрустальный;Картофель;Овощи;3.7;129.5
10.08.2015;Сельпо;Ковров;Апельсины;Фрукты;19.9;1273.6
07.09.2011;Деревенский;Гусь-Хрустальный;Яблоки;Фрукты;5.9;407.1
05.10.2013;Провиант;Владимир;Бананы;Фрукты;12.8;716.8
14.01.2014;Копеечка;Ковров;Баклажаны;Овощи;1.6;211.2
24.10.2010;Сельпо;Ковров;Баклажаны;Овощи;11;1452
09.06.2015;Полтинник;Гусь-Хрустальный;Томаты;Овощи;8.3;664
21.01.2014;Алтын;Ковров;Бананы;Фрукты;15.4;862.4
25.03.2011;Деревенский;Гусь-Хрустальный;Виноград;Фрукты;8.3;1020.9
16.05.2015;Полтинник;Гусь-Хрустальный;Картофель;Овощи;3;105
26.08.2014;Алтын;Ковров;Яблоки;Фрукты;18;1242
17.11.2014;Полтинник;Гусь-Хрустальный;Груши;Фрукты;19.8;1544.4
10.03.2014;Сельпо;Ковров;Капуста;Овощи;8;216
11.07.2015;Алтын;Ковров;Капуста;Овощи;5.8;156.6
17.12.2013;Копеечка;Ковров;Бананы;Фрукты;13.7;767.2
22.05.2010;Деревенский;Гусь-Хрустальный;Огурцы;Овощи;14.7;720.3
07.06.2012;Алтын;Ковров;Груши;Фрукты;3;234
23.06.2012;Провиант;Владимир;Капуста;Овощи;20;540
23.07.2010;Сельпо;Ковров;Баклажаны;Овощи;10.8;1425.6
28.07.2014;Сельпо;Ковров;Томаты;Овощи;12.6;1008
16.11.2010;Росвкус;Владимир;Бананы;Фрукты;3.4;190.4
29.08.2011;Росвкус;Владимир;Баклажаны;Овощи;19.3;2547.6
10.08.2010;Алтын;Ковров;Апельсины;Фрукты;6.1;390.4
14.02.2014;Алтын;Ковров;Апельсины;Фрукты;3.8;243.2
12.05.2011;Росвкус;Владимир;Апельсины;Фрукты;18;1152
04.08.2011;Первый продуктовый;Гусь-Хрустальный;Картофель;Овощи;10.4;364
14.08.2013;Провиант;Владимир;Яблоки;Фрукты;8.8;607.2
07.04.2012;Копеечка;Ковров;Капуста;Овощи;11.9;321.3
06.02.2010;Росвкус;Владимир;Яблоки;Фрукты;13.5;931.5
06.09.2012;Полтинник;Гусь-Хрустальный;Огурцы;Овощи;14.3;700.7
27.09.2014;Росвкус;Владимир;Картофель;Овощи;18.4;644
25.09.2011;Деревенский;Гусь-Хрустальный;Груши;Фрукты;7.5;585
19.10.2012;Полтинник;Гусь-Хрустальный;Яблоки;Фрукты;16.8;1159.2
15.07.2011;Сельпо;Ковров;Капуста;Овощи;9;243
11.01.2010;Авоська;Владимир;Баклажаны;Овощи;3.1;409.2
13.02.2015;Сельпо;Ковров;Апельсины;Фрукты;15;960
04.01.2012;Полтинник;Гусь-Хрустальный;Баклажаны;Овощи;15.4;2032.8
27.04.2011;Сельпо;Ковров;Яблоки;Фрукты;3.5;241.5
05.06.2012;Провиант;Владимир;Яблоки;Фрукты;11.2;772.8
29.12.2012;Провиант;Владимир;Картофель;Овощи;11.7;409.5
28.02.2013;Авоська;Владимир;Томаты;Овощи;5.1;408
23.08.2015;Деревенский;Гусь-Хрустальный;Баклажаны;Овощи;3.5;462
05.12.2013;Провиант;Владимир;Груши;Фрукты;18.5;1443
23.09.2010;Копеечка;Ковров;Баклажаны;Овощи;16.9;2230.8
25.08.2010;Деревенский;Гусь-Хрустальный;Капуста;Овощи;7.2;194.4
17.12.2010;Сельпо;Ковров;Яблоки;Фрукты;1.3;89.7
16.12.2012;Копеечка;Ковров;Картофель;Овощи;13.4;469
17.02.2014;Полтинник;Гусь-Хрустальный;Яблоки;Фрукты;13.1;903.9
29.08.2010;Алтын;Ковров;Яблоки;Фрукты;17.8;1228.2
15.01.2013;Росвкус;Владимир;Капуста;Овощи;15.2;410.4
11.07.2013;Сельпо;Ковров;Груши;Фрукты;9.6;748.8
